turno,fumador,genero,dia,cuenta_total
cena,true,hombre,domingo,6758.51
almuerzo,true,mujer,domingo,11380.81
cena,false,hombre,jueves,7855.8
cena,true,mujer,jueves,7867.29
almuerzo,false,hombre,martes,10513.0
almuerzo,false,mujer,miércoles,9156.12
cena,true,hombre,domingo,9608.28
cena,true,mujer,domingo,5200.12
almuerzo,true,hombre,miércoles,781.79
almuerzo,true,hombre,sábado,5657.9
almuerzo,true,mujer,sábado,8462.51
almuerzo,false,mujer,jueves,5601.83
cena,true,mujer,sábado,683.98
cena,true,hombre,martes,8022.42
almuerzo,true,mujer,sábado,6342.83
cena,true,hombre,sábado,2853.83
almuerzo,false,hombre,miércoles,7792.76
almuerzo,true,mujer,miércoles,8389.05
cena,false,mujer,domingo,8194.14
cena,false,mujer,domingo,9169.76
cena,true,hombre,miércoles,6273.3
cena,true,hombre,viernes,7156.59
cena,false,hombre,domingo,6667.26
almuerzo,true,mujer,domingo,3992.59
cena,true,hombre,martes,5950.13
cena,false,hombre,sábado,6076.6
almuerzo,true,hombre,sábado,3683.07
cena,false,mujer,viernes,7985.73
almuerzo,false,hombre,sábado,8759.94
cena,true,mujer,jueves,8658.74
almuerzo,false,hombre,viernes,13696.79
almuerzo,false,hombre,jueves,11862.12
almuerzo,true,hombre,viernes,5675.92
cena,true,hombre,miércoles,5561.8
cena,true,mujer,viernes,6212.35
cena,false,mujer,jueves,8918.14
almuerzo,false,hombre,miércoles,10718.5
cena,true,mujer,domingo,910.86
almuerzo,false,hombre,jueves,4481.02
almuerzo,false,hombre,martes,11181.25
almuerzo,true,hombre,jueves,7310.2
almuerzo,true,hombre,domingo,5769.73
cena,false,hombre,martes,5352.52
almuerzo,true,mujer,miércoles,9652.16
cena,false,hombre,jueves,9544.93
cena,true,hombre,martes,5877.44
almuerzo,false,mujer,miércoles,7623.84
cena,true,mujer,sábado,5587.04
cena,false,mujer,martes,6857.58
almuerzo,true,hombre,jueves,9462.68
almuerzo,true,mujer,martes,3788.48
almuerzo,false,hombre,sábado,12435.97
cena,true,hombre,viernes,9676.16
almuerzo,false,hombre,domingo,3252.77
cena,false,hombre,sábado,8129.64
cena,true,hombre,jueves,10220.47
cena,true,hombre,viernes,9492.41
cena,false,hombre,domingo,8009.42
cena,true,hombre,martes,8833.99
cena,true,hombre,sábado,6249.85
almuerzo,false,mujer,sábado,10902.95
cena,false,mujer,miércoles,5634.19
almuerzo,false,hombre,martes,13845.5
almuerzo,false,hombre,miércoles,7208.55
cena,true,hombre,viernes,7805.01
cena,false,mujer,martes,8387.49
cena,false,mujer,miércoles,11052.92
almuerzo,false,hombre,miércoles,7913.89
cena,true,hombre,sábado,7949.37
cena,true,hombre,martes,9085.87
cena,false,hombre,sábado,5924.71
cena,false,mujer,viernes,14525.62
cena,true,hombre,viernes,7019.71
cena,false,mujer,miércoles,7806.61
almuerzo,false,mujer,sábado,9040.27
cena,false,mujer,domingo,3415.37
almuerzo,true,hombre,martes,3196.86
cena,false,mujer,sábado,8329.61
almuerzo,true,hombre,martes,10981.22
almuerzo,true,mujer,sábado,4953.3
cena,true,hombre,jueves,5745.89
almuerzo,false,mujer,domingo,5236.22
cena,false,mujer,jueves,5790.66
almuerzo,true,mujer,martes,6328.96
almuerzo,true,hombre,sábado,2787.43
cena,true,mujer,miércoles,5496.16
cena,true,hombre,jueves,4812.83
cena,true,mujer,miércoles,7967.49
cena,false,mujer,martes,7595.56
almuerzo,true,mujer,miércoles,8721.65
almuerzo,false,mujer,viernes,4099.73
almuerzo,true,hombre,sábado,6403.32
almuerzo,false,mujer,jueves,10430.6
cena,false,hombre,viernes,10131.06
almuerzo,false,mujer,domingo,4605.95
cena,false,hombre,domingo,9539.77
cena,true,mujer,domingo,3538.06
cena,true,mujer,miércoles,5919.31
cena,false,hombre,sábado,8757.12
almuerzo,false,mujer,miércoles,8245.83
cena,false,hombre,viernes,2337.36
cena,true,mujer,viernes,6781.47
almuerzo,false,hombre,jueves,8372.04
almuerzo,false,hombre,martes,7936.8
cena,true,hombre,martes,11919.76
cena,true,hombre,jueves,5506.18
cena,true,mujer,sábado,8832.17
almuerzo,true,mujer,domingo,6746.8
cena,true,hombre,domingo,7170.16
cena,true,hombre,jueves,4544.82
cena,false,hombre,sábado,7800.83
almuerzo,false,hombre,domingo,6617.83
almuerzo,true,hombre,miércoles,8986.92
cena,true,hombre,domingo,4579.29
almuerzo,true,mujer,martes,3608.68
cena,true,mujer,domingo,6836.03
almuerzo,true,mujer,miércoles,8353.27
almuerzo,false,hombre,martes,7506.3
almuerzo,true,hombre,jueves,8353.94
almuerzo,true,mujer,jueves,6116.68
almuerzo,true,hombre,sábado,7183.55
almuerzo,true,mujer,domingo,8745.13
cena,false,hombre,sábado,7380.65
cena,true,mujer,viernes,8114.97
almuerzo,false,hombre,viernes,9326.88
cena,true,hombre,sábado,6021.65
almuerzo,true,mujer,viernes,5178.65
cena,true,mujer,viernes,5080.36
almuerzo,true,mujer,sábado,7068.62
almuerzo,false,hombre,viernes,9960.54
almuerzo,true,hombre,jueves,4309.33
cena,false,hombre,sábado,6776.27
cena,false,hombre,sábado,7180.77
cena,false,mujer,viernes,10746.65
cena,true,mujer,sábado,6292.73
cena,true,mujer,domingo,5890.08
cena,false,mujer,jueves,6166.83
almuerzo,false,hombre,sábado,10913.14
cena,true,mujer,miércoles,6611.94
cena,false,mujer,jueves,4360.53
almuerzo,true,hombre,sábado,5587.1
almuerzo,false,mujer,jueves,9960.03
cena,true,mujer,jueves,11946.63
cena,false,mujer,martes,7911.92
almuerzo,false,hombre,sábado,7402.88
almuerzo,false,hombre,jueves,8396.82
cena,true,mujer,domingo,7484.96
cena,true,mujer,sábado,10398.92
almuerzo,false,hombre,viernes,8986.16
almuerzo,true,hombre,domingo,3648.22
almuerzo,false,mujer,miércoles,10963.81
cena,false,hombre,domingo,11930.5
almuerzo,true,mujer,martes,697.11
cena,false,mujer,jueves,8676.65
cena,false,mujer,sábado,6984.22
cena,true,hombre,martes,9571.03
almuerzo,true,mujer,jueves,3958.02
cena,false,hombre,viernes,5208.57
cena,true,hombre,jueves,12454.99
almuerzo,true,hombre,viernes,11396.97
cena,false,hombre,miércoles,4829.56
cena,true,hombre,viernes,4704.28
almuerzo,false,hombre,jueves,9579.14
almuerzo,false,mujer,miércoles,8679.77
cena,false,hombre,miércoles,5473.35
almuerzo,false,hombre,viernes,12273.51
cena,true,mujer,domingo,7820.87
almuerzo,false,mujer,domingo,6812.24
almuerzo,true,hombre,sábado,6068.99
cena,true,hombre,sábado,7683.66
cena,false,hombre,sábado,14512.81
almuerzo,true,mujer,sábado,7510.99
almuerzo,false,hombre,sábado,8686.62
cena,true,mujer,miércoles,7626.88
cena,false,hombre,domingo,12160.57
almuerzo,true,hombre,jueves,8061.87
almuerzo,false,hombre,martes,3639.56
almuerzo,true,hombre,miércoles,5288.72
almuerzo,true,hombre,jueves,3734.62
cena,false,hombre,miércoles,5437.61
almuerzo,false,hombre,viernes,5895.33
almuerzo,false,mujer,miércoles,10183.14
almuerzo,true,hombre,miércoles,10394.9
cena,false,hombre,domingo,8555.8
almuerzo,true,mujer,sábado,6866.62
almuerzo,true,mujer,sábado,7690.11
cena,false,hombre,miércoles,3453.83
cena,false,mujer,domingo,10057.53
cena,true,hombre,viernes,11564.75
cena,true,mujer,martes,5181.89
cena,false,hombre,sábado,5099.46
cena,false,mujer,miércoles,7753.32
cena,true,mujer,domingo,5721.37
almuerzo,true,hombre,sábado,5254.97
almuerzo,false,mujer,sábado,10626.56
cena,true,hombre,jueves,11966.25
cena,true,hombre,viernes,10414.56
cena,false,mujer,jueves,6638.82
almuerzo,false,hombre,viernes,13331.37
cena,true,hombre,miércoles,6223.14
cena,false,mujer,viernes,5504.32
cena,true,hombre,jueves,5439.73
cena,true,hombre,viernes,1625.5
almuerzo,true,hombre,martes,8042.5
cena,false,hombre,martes,6669.54
cena,true,hombre,miércoles,6774.1
cena,true,hombre,martes,13102.43
almuerzo,false,mujer,viernes,8456.25
cena,true,mujer,jueves,7403.02
cena,false,hombre,viernes,4279.64
almuerzo,true,mujer,sábado,8361.13
cena,false,mujer,miércoles,9323.6
cena,false,hombre,viernes,9174.35
almuerzo,true,mujer,domingo,7845.41
cena,true,mujer,martes,10183.93
almuerzo,false,mujer,domingo,4980.35
almuerzo,false,mujer,martes,8178.17
almuerzo,true,hombre,jueves,7083.22
almuerzo,true,hombre,martes,7413.86
cena,false,mujer,miércoles,2973.43
cena,false,hombre,jueves,9300.59
almuerzo,true,mujer,miércoles,10306.0
almuerzo,false,mujer,domingo,9081.32
almuerzo,false,hombre,martes,7009.49
almuerzo,false,hombre,domingo,10411.65
cena,false,mujer,jueves,10682.57
cena,true,mujer,viernes,10172.0
almuerzo,true,mujer,domingo,12759.99
almuerzo,false,hombre,viernes,4210.1
cena,false,hombre,viernes,7405.74
cena,true,hombre,martes,7853.1
almuerzo,true,hombre,sábado,7506.15
almuerzo,false,mujer,viernes,6039.62
almuerzo,false,mujer,viernes,8550.71
almuerzo,false,hombre,jueves,7826.36
cena,false,mujer,jueves,2539.28
cena,true,hombre,domingo,9070.59
almuerzo,false,mujer,sábado,7525.04
almuerzo,false,mujer,jueves,6535.48
cena,true,hombre,miércoles,4251.12
cena,true,hombre,domingo,11510.55
almuerzo,false,mujer,jueves,9233.79
cena,true,mujer,sábado,13642.24
almuerzo,true,hombre,miércoles,7656.88
almuerzo,true,hombre,martes,6349.65
almuerzo,false,hombre,miércoles,10099.12
almuerzo,true,mujer,sábado,10955.8
cena,true,mujer,viernes,6013.11
cena,false,hombre,domingo,8610.4
almuerzo,false,hombre,viernes,12800.23
almuerzo,true,hombre,miércoles,9621.48
almuerzo,true,hombre,viernes,8760.1
almuerzo,true,hombre,martes,10902.21
almuerzo,true,hombre,martes,9327.4
almuerzo,true,mujer,viernes,6996.17
almuerzo,false,hombre,viernes,10828.97
almuerzo,true,mujer,domingo,5579.83
almuerzo,false,hombre,sábado,5738.52
cena,true,hombre,jueves,6986.52
cena,false,mujer,miércoles,6250.23
cena,false,mujer,jueves,6251.66
cena,false,hombre,viernes,4138.36
cena,false,mujer,domingo,8691.58
almuerzo,false,hombre,domingo,6571.62
almuerzo,false,mujer,sábado,8949.28
almuerzo,true,mujer,jueves,7083.36
cena,true,mujer,viernes,5354.36
almuerzo,false,hombre,jueves,7532.52
almuerzo,true,mujer,domingo,8465.09
cena,false,hombre,miércoles,5427.28
almuerzo,false,hombre,martes,10508.78
almuerzo,false,hombre,sábado,13334.39
almuerzo,false,mujer,martes,8397.6
almuerzo,false,mujer,domingo,7495.7
almuerzo,false,mujer,sábado,6988.64
cena,false,hombre,sábado,8417.0
cena,false,hombre,jueves,7263.67
cena,true,hombre,miércoles,11836.47
almuerzo,false,hombre,jueves,7643.28
almuerzo,true,mujer,viernes,3083.45
almuerzo,true,mujer,sábado,8757.0
almuerzo,false,mujer,domingo,10079.1
almuerzo,true,hombre,sábado,9764.15
cena,false,mujer,sábado,5636.31
